Generation Number,Best Fitness,Average Fitness,Fitness Improvement,Diversity
66,0.026350461133069828,0.025539588658020335,0.0008108724750494935,20
67,0.026350461133069828,0.025589903743734498,0.0007605573893353298,23
68,0.026350461133069828,0.025904316838064156,0.0004461442950056717,20
69,0.02652519893899204,0.025903404951089185,0.0006217939879028557,23
70,0.02652519893899204,0.02593495227105592,0.0005902466679361187,24
71,0.026791694574681845,0.02602964492193437,0.0007620496527474749,25
72,0.026791694574681845,0.026080670085085036,0.0007110244895968086,22
73,0.026791694574681845,0.026242556640443712,0.0005491379342381329,24
74,0.026791694574681845,0.026284574233725325,0.0005071203409565198,21
75,0.026791694574681845,0.0263799808115298,0.0004117137631520461,18
76,0.026791694574681845,0.026336078821441063,0.00045561575324078174,18
77,0.026972353337828724,0.026312333924149223,0.0006600194136795016,22
78,0.02715546503733876,0.02631053026152473,0.0008449347758140296,26
79,0.02734107997265892,0.026588303605584934,0.0007527763670739859,26
80,0.02734107997265892,0.02679888517057782,0.0005421948020810988,23
81,0.027624309392265192,0.026782772107059462,0.0008415372852057304,25
82,0.027624309392265192,0.02679028431948233,0.0008340250727828617,26
83,0.027624309392265192,0.027040346644806763,0.0005839627474584289,23
84,0.027624309392265192,0.027127808815214576,0.000496500577050616,23
85,0.027624309392265192,0.027118574093618498,0.0005057352986466944,19
86,0.027624309392265192,0.027080676209611795,0.0005436331826533976,23
87,0.027624309392265192,0.027127209846133826,0.0004970995461313667,20
88,0.027624309392265192,0.027068019504827397,0.0005562898874377949,23
89,0.027624309392265192,0.02704346306134398,0.0005808463309212135,25
90,0.027624309392265192,0.02714080771930202,0.00048350167296317206,21
91,0.027624309392265192,0.0271515147534355,0.0004727946388296926,19
92,0.027624309392265192,0.0271606864555202,0.00046362293674499094,24
93,0.027624309392265192,0.027108418842219026,0.0005158905500461664,21
94,0.027624309392265192,0.027106067084160083,0.0005182423081051095,21
95,0.027624309392265192,0.02708736877401464,0.0005369406182505511,22
96,0.027624309392265192,0.027045577268109185,0.0005787321241560069,21
97,0.027624309392265192,0.027170871105913687,0.00045343828635150546,19
98,0.027624309392265192,0.027072028529575198,0.0005522808626899946,23
99,0.027624309392265192,0.02709193714064447,0.0005323722516207205,22
100,0.027913468248429864,0.027071328664137192,0.000842139584292672,21
